"","Years","Gender","Dept","Salary","JobSat","Plan","Pre","Post"
"Ritchie, Darnell",7,"M","ADMN",63788.26,"med",1,82,92
"Wu, James",,"M","SALE",104494.58,"low",1,62,74
"Downs, Deborah",7,"W","FINC",67139.9,"high",2,90,86
"Hoang, Binh",15,"M","SALE",121074.86,"low",3,96,97
"Jones, Alissa",5,"W",,63772.58,,1,65,62
"Afshari, Anbar",6,"W","ADMN",79441.93,"high",2,100,100
"Knox, Michael",18,"M","MKTG",109062.66,"med",3,81,84
"Campagna, Justin",8,"M","SALE",82321.36,"low",1,76,84
"Kimball, Claire",8,"W","MKTG",71356.69,"high",2,93,92
"Cooper, Lindsay",4,"W","MKTG",66772.95,"high",1,78,91
"Saechao, Suzanne",8,"W","SALE",65545.25,"med",1,98,100
"Pham, Scott",13,"M","SALE",91871.05,"high",2,90,94
"Tian, Fang",9,"W","ACCT",81084.02,"med",2,60,61
"Bellingar, Samantha",10,"W","SALE",76337.83,"med",1,67,72
"Sheppard, Cory",14,"M","FINC",105027.55,"low",3,66,73
"Kralik, Laura",10,"W","SALE",102681.19,"med",2,74,71
"Skrotzki, Sara",18,"W","MKTG",101352.33,"med",2,63,61
"Correll, Trevon",21,"M","SALE",144419.23,"low",1,97,94
"James, Leslie",18,"W","ADMN",132563.38,"low",3,70,70
"Osterman, Pascal",5,"M","ACCT",59704.79,"high",3,69,70
"Adib, Hassan",14,"M","SALE",93014.43,"med",2,71,69
"Gvakharia, Kimberly",3,"W","SALE",59868.68,"med",2,83,79
"Stanley, Grayson",9,"M","SALE",79624.87,"low",1,74,73
"Link, Thomas",10,"M","FINC",76312.89,"low",1,83,83
"Portlock, Ryan",13,"M","SALE",87714.85,"low",1,72,73
"Langston, Matthew",5,"M","SALE",59188.96,"low",3,94,93
"Stanley, Emma",3,"W","ACCT",56124.97,"high",2,86,84
"Singh, Niral",2,"W","ADMN",71055.44,"high",2,59,59
"Anderson, David",9,"M","ACCT",79547.6,"low",1,94,91
"Fulton, Scott",13,"M","SALE",97785.51,"low",1,72,73
"Korhalkar, Jessica",2,"W","ACCT",82502.5,,2,74,87
"LaRoe, Maria",10,"W","MKTG",71961.29,"high",2,80,86
"Billing, Susan",4,"W","ADMN",82675.26,"med",2,91,90
"Capelle, Adam",24,"M","ADMN",118138.43,"med",2,83,81
"Hamide, Bita",1,"W","MKTG",61036.85,"high",2,83,90
"Anastasiou, Crystal",2,"W","SALE",66508.32,"low",2,59,71
"Cassinelli, Anastis",10,"M","FINC",67562.36,"high",1,80,87
